Word,Meaning
midtown,(도심지와 시 외곽 사이의) 중간지대
migration,"이동, 이주"
mileage,주행거리
milestone,"획기적인 사건, 중요한 단계"
mindful,유념하는
mingle,"섞다, 혼합하다"
minimally,"극히 작게, 최소한으로"
minimize,"최소화하다, 축소하다"
minimize the risk of,~의 위험을 최소화하다
minimum,"최소한도, 최소한의"
mining,"채굴, 채광"
ministry,(정부의)부서
minor,사소한
minutes,회의록
miscellaneous,다양한
miserable,"비참한, 슬픔"
mislabeled,라벨이 잘못 붙여진
misleading,"오도하는, 그릇된 인상을 주는"
misplace,"잃어버리다, 위치를 잘못 잡다"
misprint,오식
misread,"잘못 읽다, 오해하다"
miss,"놓치다, 그리워하다"
missing,"분실된, 없어진"
missing luggage,분실 수하물
mission,임무
mistakenly,실수로
misuse,"오용, 악용"
mobility,이동성
model,"원형, 모범, ~의 모형을 만들다"
model number,모델 번호
moderate,"적당한, 완화하다, 사회를 보다"
moderate a meeting ,회의의 사회를 보다
moderator,"(토론 등의) 사회자, 중재자"
modestly,겸손하게
modification,"변경, 수정"
modify,"수정하다,일부 변경하다"
momentarily,잠깐
momentary,"순간적인, 잠깐의"
momentum,"추진력, 탄성"
monetary,"금전의, 재정적인"
monitor,"화면, 모니터, 감독하다, 감시하다, 검토하다"
monopoly,"(상품의)독점, 전매"
mortgage,(담보) 대출
motion sickness,(탈것에 의한) 멀미
motivate,"동기를 부여하다, 자극하다"
motivation,"이유, 동기"
mounting,"증가하는, 오르는"
move,"옮기다, 움직이다, 조치, 수단, 이동, 이사"
move ahead with,~을 순조롭게 진행시키다
move around,돌아다니다
move forward,앞으로 나아가다
move over one seat,자리를 한 칸 옮기다
move up,승진하다
much to one's surprise,매우 놀랍게도
multi-regional,다지역의
multilateral,다국간의
multinational corporation,다국적 기업
multistory,"다층의, 고층의"
mundane,"일상적인, 재미없는"
municipal,"자치 도시의, 시립의"
mural,벽화
museum,박물관
musical instrument,악기
must-see,꼭 보아야 할 것
mutual,상호의
mutually,"서로, 상호간에"
name tag,"명찰, 명패"
named representative,지명된 대표자
namely,"즉, 다시 말해"
narrative,"(소설 속 사건들에 대한) 기술, 묘사"
narrow,(범위 등을)좁히다
narrowly,"주의 깊게, 좁게, 가까스로, 간신히, 겨우"
national holiday,국경일
nationality,국적
nationalize,국영화하다
nationwide,전국적인
native,그 지방 고유의
natural habitat,자연 서식지
navigate,길을 찾다
navigation,"항해, 운항"
nearby,인근의
nearly,"거의, 대략"
neatly,"깔끔하게, 단정하게"
necessarily,반드시
necessary,필요한
necessitate,~을 필요하게 만들다
necessity,필요
necklace,목걸이
need,"필요, 요구, 욕구, ~할 필요가 있다"
need monitoring,관찰이 필요하다
negative,"부정적인, 비판적인"
negotiation,"협상,교섭"
neighbor,이웃
neighboring,"이웃의, 인접한"
net income,"순수입, 실수입"
network,망
neutral,중립적인
neutrality,"중립성, 중립"
new appointment,"새로 임명함, 신임"
newcomer,"새로 온 사람, 신입사원"
newly arrived,새로 부임한
newly established,신설된
newly listed,새로 목록에 오른
newsletter,(회사·단체 등의)회보
newspaper,신문
newsstand,신문 가판대
next to,~옆에
nice-looking,깔끔한
night shift,야간 근무
nightfall,해질녘
no later than,늦어도 ~까지
noise and air pollution,소음공해와 대기 오염
nominate,"지명하다, 추천하다"
nomination,"임명, 지명"
non-profit organization,비영리조직
nonstop flight,직항
nontransferable,양도할 수 없는
normal,"정상, 표준"
normal operating hours,정상 영업시간
not A but B,A가 아니라 B다
not at all,"전혀~아니다, 천만에"
not far from,~에서 멀지 않은
not only A but also B,A뿐만 아니라 B도
not to mention,~은 말할 것도 없고
note,"주목하다, 특별히 언급하다"
noteworthy,주목할 만한
notice,"통지, 공고"
notification,통지
notify,"~에게 통지하다, 알리다"
nourish,"~에 영양분을 주다, 장려하다"
nourishment,영양분
novice,"풋내기, 무경험자"
numerous,많은
nursery,"유아원, 놀이방; 보육"
nursing,"간호, 간호학"
nurture,"양육하다, 기르다"
nutrition,영양
oar,"노, 노를 젓다, 물장구를 치다"
obey,복종하다
obfuscate,"당황하게 하다, 혼란스럽게 만들다"
object,반대하다
objection,"반대,이의"
objective,"목표, 목적"
obligation,"의무, 책임"
oblige,"어쩔 수 없이 ~하게 하다, ~에게 강요하다"
observably,눈에 띄게
observance,준수
observant,"관찰력 있는, 준수하는"
observation tower,"관측탑, 전망탑"
observe,"관찰하다, 주시하다, (규칙 등을) 준수하다,
지키다"
obsess about,~에 대해 강박 관념을 갖다
obsolete,"쓸모없게 된, 안 쓰이는"
obstruct,"(전망 등을) 가리다, 차단하다; (도로 등을) 막다"
obtain,"획득하다, 얻다"
obvious,"명백한, 뻔한"
obviously,명백하게
obviously qualified,명백히 자격을 갖춘
occasionally,"가끔, 때때로"
occupancy,(호텔 등의) 이용률
occupation,직업
occupational safety and health,직장 안전 및 건강
occupied,"바쁜, 사용 중인, 사람이 있는"
occupy,차지하다
occur,"(일이) 발생하다, 생기다"
occurrence,발생하는 것
off chance,"요행, 희박한 가능성"
off the shore,해안에
off-limits,출입금지의
off-peak,"한산할 때의, 비수기의"
off-season,비수기
offend,(규칙을) 위반하다
offer,"제공하다, 제공, 오퍼"
offer an apology to A,A에게 사과하다
offering,제공된 것
office supplies,사무용품
official,"공무원, 관리, 공식적인"
official arrangement,공식적인 합의
official title,공식 직함
officially,공식적으로
officiate,식을 진행하다
offload,짐을 내리다
offset,"상쇄하다, 벌충하다"
often,"자주, 흔히"
oil painting,유화
omission,"생략, 누락"
omit,"빠트리다,생략하다"
on a business trip,출장 중인
on a regular basis,정기적으로
on a weekly basis,주 단위로
on an empty stomach ,공복에
on behalf of,~을 대신해서
on business,업무자
on call,"언제든지 사용할 수 있는, 대기하고 있는"
on delivery,배달 시에
on display,"전시된, 진열된"
on duty,근무 중인
on foot,"걸어서, 도보로"
on hand,가까이에
on hold,"보류중인, 통화대기중인"
on occasion,때때로
on one's own,"혼자서, 혼자 힘으로"
on one's own account,"혼자서, 자신의 이익을 위해서"
on probation,견습으로
on purpose,"고의로, 일부러"
on sale,판매되고 있는
on schedule,"예정대로,시간표대로"
on standby,대기 중인
on strike,파업 중인
on the edge of,막~하려는 찰나에
on the market,시판 중인
on the recommendation of,~의 추천으로
on the rise,상승하는
on the spot,"현장에, 즉시"
on the waiting list,대기자 명단에
on time,정각에
on vacation,휴가 중인
on-site,"현장의, 현지의, 현장에서, 현지에서"
once,"~하자마자,이전에, 한 번"
one-way ticket,편도 차표
ongoing,계속 진행 중인
online,"인터넷에 접속된, 온라인으로"
opening,"공석,결원;개장,개시"
openly,"터놓고, 솔직하게"
operate,"(기계 등이) 작동하다, 움직이다"
operating,(기계·설비의) 조작상의
operation,수술
operation budget,운영 예산
opponent,"반대자, 적수"
opportunity,기회
opposing,"대립하는, 반대하는"
opposition,"반대, 대항"
optimal,"최적의, 최선의"
optimistic,낙관적인
option,선택권
order,"주문하다, 주문, 주문품"
order a meal,식사를 주문하다
ordered,"정돈된, (질서) 정연한"
ordering,"정리, 배치"
ordinance,"법령, 명령"
ordinarily,"보통은, 정상적으로는"
organ,(신체)기관
organization,단체
organize,"준비하다, 조직하다, 정리하다"
organize a picnic,소풍을 준비하다
organizer,"조직자, 창시자"
oriented,~을 지향하는
origin,"시초, 기원"
original,"원형, 최초의, 독창적인"
originally,"원래,처음에는"
originate in,~에서 시작되다
ornamental,"장식적인, 장식의"
otherwise,"다르게, 달리, 만약 그렇지 않으면"
out of order,고장 난
out of paper,종이가 다 떨어진
out of print,절판된
out of stock,재고가 없는
out of town,"시내에 없는, 다른 곳으로 떠난"
out-of-date,"시대에 뒤떨어진, 구식의"
outcome,결과
outdated,"구식의, 진부한"
outdoor,야외의
outdoor wall,"외벽, 바깥벽"
outerwear,"겉옷, 외투"
outgoing,"(장소를)출발하는, 떠나는, (지위를) 떠나는"
outlast,~보다 오래가다
outlay,"지출, 경비"
outlet,"판매 대리점, 소매점, 콘센트"
outline,"개요, 설명하다, 약술하다"
outlook,전망
outlying,"외진, 변경의"
outpace,앞지르다
outpatient clinic,외래 환자 진료소
output,생산량
outreach,봉사활동
outsell,~보다 많이 팔다
outside provider,외부 공급자
outskirts,"교외, 변두리"
outstanding,"우수한, (부채 등이)미지불 된"
outwardly,"겉으로는, 표면상으로"
outweigh,(가치∙중요성이) ~보다 크다
over the lnternet,인터넷을 통해
over-the-counter medicine,처방전 없이 살 수 있는 약
overall,"전반적인, 총체적인"
overbook,예약을 정원 이상으로 받다
overcharge,"바가지 씌우다, 부당한 값을 요구하다"
overcoat,외투
overcome,극복하다
overdose,과다복용
overdrawn,잔액이 부족한
overdue,"(지불·반납 등의) 기한이 지난, 지불 기한이 넘은"
overestimate,과대평가하다
overflow,"범람하다, 넘치다"
overhaul,"점검, 정비"
overhead,머리 위의
overhead rack,(머리 위의 짐 넣는) 선반
overlook,"간과하다, 내려다보다"
overlook the water,호수를 굽어보다
overly,"지나치게, 몹시"
overnight,"밤새, 하루밤 동안"
overnight express,심야 고속
overnight stay,1박
overpass,육교
overprice,과하게 값을 매기다
overqualified,필요이상으로 교육을 받은
overseas,"해외의, 해외로"
oversee,감독하다
oversight,부주의; 감독
oversized,너무 큰
overstaffed,필요이상의 직원을 둔
overtime,"초과 근무, 야근"
overtime allowance,초과근무수당
overtime hours,초과 근무 시간
overtime rate,초과근무수당
overview,"개요, 개관"
overwhelming,압도적인
overwork,"과로, 과로하다"
owe,빚지고 있다
owed,(돈을) 빚지고 있는
owing to,~로 인하여
owner,"주인, 소유주"
pace,"(일·생활 등의)속도, 페이스"
pack,"짐, 짐을 꾸리다"
pack away,"모아두다, 저장하다"
package,"소포, 꾸러미"
packaging,"포장, 포장재"
packing tape,포장테이프
paddle,"노, 노를 젓다, 물장구를 치다"
paid leave,유급 휴가
paid vacation,유급 휴가
paid with,(특정한 결제수단으로) 지불된
painkiller,진통제
paint,"물감, 그림을 그리다"
painting,"그림, 회화"
pair,"한 쌍이 되다, 한 쌍"
pair up with,~와 짝이 되다
palate,미각
palpitations,비정상적으로 빠른 심장 박동
panic,"당황, 공황"
paper,서류
paper jam,(복사기에서의) 종이 걸림
papers,"서류, 논문"
paperwork,문서 작업
parade,"퍼레이드, 행렬"
paralysis,마비
parcel,소포
parent company,모회사
park,주차하다
parking facility,주차시설
parking garage,차고
parking pass,주차권
parliament,"의회, 국회"
parlor,가게
part-time,"파트타임의, 시간제의"
partial,"부분적인, 편파적인"
partially,"부분적으로, 일부분은"
participant,참가자
participate,"참여하다, 참가하다"
participate in,~에 참가하다
participation,"참여, 참가, 가입"
particular,특정한
particularly,특히
partition,"칸막이, 분할"
partnership,"제휴, 협력"
party,"단체,당사자,연회"
pass,"지나가다, 통과하다"
pass around,~을 차례로 돌리다
pass by,지나가다
pass out,~을 나누어 주다
pass over,~의 위를 지나가다
pass the time,"시간을 보내다, 시간을 떼우다"
pass up,"(기회 등을) 거절하다, 포기하다"
passenger,승객
passerby,행인
passport,여권
password,비밀번호
past due,"연체된, 미납된"
patent,"특허, 특허권, 특허품"
path,통행로
pathway,통행로
patient's record,환자의 의료 기록
patiently,"끈기 있게, 참을성 있게"
patio,"테라스, 베란다"
patron,고객
patronize,"~을 단골로 삼다, 거래하다"
pattern,"무늬, 경향, 모범"
pave,(도로를) 포장하다
pavement,"포장도로, 인도"
pavilion,전시관
pay in cash,현찰로 지불하다
pay increase,임금 인상
pay off,"빚을 다 갚다, 이익이 되다"
pay out,"지불하다, 치르다"
pay raise,임금 인상
payable,지불해야 하는
paycheck,"급료, 급료 지불 수표"
payment,"지불(금액), 납입(금액)"
payment option,결제 방법
payroll,"임금 대장, 급료 명부"
peak,"절정, 최고점"
peddler,행상인
pedestrian,보행자
peel off,~의 껍질을 벗기다
penalize,벌하다
penalty,벌금
pending,"미결인,미정인,임박한"
pension,연금
people of all ages,모든 연령대의 사람들
people on foot,보행자들
per day,하루에
perceive,"지각하다, 인지하다"
percentage,"비율, 백분율"
perceptible,"상당한 정도의, 인지할 수 있는"
perception,"인식,지각"
perceptive,통찰력 있는
perform,"(일〮과제 〮의무 등을) 행하다, 실행하다"
performance,"실적, 성과, 공연, 연주, 연기"
perhaps,"아마, 어쩌면"
period,"기간, 시기"
periodical,"정기 간행물, 주기적인"
periodically,주기적으로
perishable,부패하기 쉬운
permanent,영구적인
permanently,"영구적으로, 불변으로"
permission,"허락, 허가"
permit,"허락하다, 허가증"
perpetual,끊임없이 계속되는
persist,"(집요하게) 계속하다, 계속되다, 지속되다"
persistent,"끊임없는,계속되는"
personal,개인의
personal effects,"개인 소지품, 개인 소유물"
personnel,"(집합적)직원, 인원, 인사과"
personnel management,인사관리
perspective,"시각, 관점, 원근 화법의"
perspire,땀을 흘리다
persuade,설득하다
persuasive,설득력 있는
pertaining to,~에 관계된
pertinent,관련된
perturbed,동요하는
petition,"진정서, 탄원서"
pharmaceutical,"제약의, 약학의"
pharmacist,약사
pharmacy,약국
phase,단계
phenomenon,현상
photocopier,복사기
photocopy,"복사, 복사하다"
photographer,사진가
photography equipment,사진 장비
physical examination,신체검사
physical therapy,물리 치료
physician,내과 의사
pick up,"~을 찾다, (사람·물건 등을) 도중에서 태우다"
pick up one's paycheck,급여를 수령하다
pick up packages,소포를 찾아가다
pick up passengers,승객을 태우다
pick up the check,돈을 내다
pick up the phone,전화를 받다
picture,그림
piece by piece,조금씩
pier,"부두, 방파제, 선창"
pile up,~을 쌓다
pilot,비행기 조종사
pioneer,"개척자, 선구자"
pique,"화, 불쾌"
pity,"유감, 동정"
place,"~을 ~한 상태에 두다, 
(지시·주문·신청 등을) 하다"
place an order,주문하다
place of origin,원산지
placement,"놓기, 배치, 취업 알선"
plan,"계획, 계획을 세우다"
planning,"계획, 입안"
plant,"식물, 공장, (식물을)심다"
plate,"접시, 그릇"
platform,승강장
plausible,그럴듯한
play a role in,~에 한 몫을 하다
play cards,카드놀이를 하다
playing field,경기장
plaza,광장
pleased,"만족해하는, 기쁜"
pleasing,"즐거운, 기분 좋은, 만족스러운"
pleasure,"즐거움, 기쁨, 영광"
plentiful,풍부한
plenty,"풍부한, 충분한"
plenty of,많은
plug in ,~에 플러그를 꽂다
plumber,배관공
plunge,떨어지다
plus,"~을 더한, ~을 더하여"
plus tax,세금 별도
point,"의견, 가리키다"
point at,~을 가리키다
point out,~을 지적하다
pointed,"(말·표현 등이) 예리한, 날카로운, 적절한"
pole,"기둥, 원주"
policy,"규정, 보험 증권"
polish,"~을 닦다, ~의 윤을 내다"
politely,"공손하게, 예의바르게"
politician,정치인
politics,"정치, 정치학"
poll,여론 조사
pollutant,오염 물질
pollution,"오염, 공해"
poorly,"저조하게, 형편없이"
poorly paid,박봉의
pop up,불쑥 나타나다
popular,인기 있는
popularize,대중화하다
popularly,일반적으로
porch,현관
port,항구
portable,휴대용의
porter,"운반인, 짐꾼"
portfolio,"포트폴리오, 투자 자산 구성"
portrait,초상화
portray,(인물∙풍경을) 그리다
pose,"자세를 취하다, (사진 등을 위한)자세"
position,"일자리,직책,두다"
positive,"긍정적인, 확신하는"
possess,"소유하다, 갖고 있다"
possession,"소유물, 소유"
possibility,가능성
possible,"가능한, 있음 직한"
post,"붙이다, 공고하다"
post an notice on,~에 공지 사항을 게시하다
postage,우편 요금
postal ,우편의
postpone,"연기하다, 뒤로 미루다"
postpone until,~까지 연기하다
pot,(깊은) 냄비
potential,"잠재적인, 가능성"
potential customer,잠재적 고객
potentially,"가능성 있게,잠재적으로"
potholder,뜨거운 냄비를 들 때 쓰는 천
potted,화분에 심은
pottery,도자기
pour,"~을 붓다, ~을 따르다"
power,"전력, 전기"
powerful,"영향력 있는, 유력한"
practical,실용적인
practical experience,실무 경험
practice,"관행, 관례, 연습하다, 실습하다"
practitioner,전문의
pragmatic,실용적인
praise,칭찬
preach,"설교하다, 충고하다"
precaution,"예방 조치, 예방책"
precede,"~보다 앞서다,~보다 중요하다"
precedent,전례
precious,귀중한
preciously,"까다롭게, 매우"
precise,"정확한, 정밀한"
precisely,정확히
preclude,막다
predecessor,전임자
predict,예측하다
predictably,예상대로
predicted,예상되는
prediction,예측
predominantly,"대개, 대부분"
preeminent,"우수한, 탁월한"
prefer,"(다른 것보다)~을 더 좋아하다, 선호하다"
preference,선호
preferential treatment,우대
preferred,"선호되는, 우선의"
preheat,(오븐을) 예열하다
preliminary,예비의
premier,"으뜸의, 첫째의"
premiere,"특별 개봉, 초연"
premises,"구내, 토지가 딸린 건물"
premium,보험료
prepaid,"선불된, 선납된"
preparation,"준비, 대비"
prepare,"준비하다, 채비를 갖추다"
prepare a meal,식사 준비를 하다
prerequisite,"필수조건, 필수적인"
prescribe,(약을) 처방하다
present,"제시하다, 현재의, 참석한"
presentation,발표
presently,현재
preservation area,보호구역
preserve,"보존하다, 보호하다"
preside,"(회의의) 사회를 보다, ~의 의장을 맡아보다"
presiding,(회의를) 주재하는
press,"언론(계), 보도기관, 누르다"
press the button,버튼을 누르다
prestigious,명성 있는
presumable,"가정할 수 있는,있음직한"
presumably,"아마, 생각건대"
pretax,세금 공제 전의
prevail,널리 퍼지다; 이기다
prevalent,"유행하고 있는, 널리 퍼진"
prevent,"~을 막다, ~을 예방하다"
prevention,예방
preview,"예고편,시사회"
previous job,이전 직업
previously,이전에
price,가격
price quote,견적서
priced,값이 붙은
primarily,"주로, 원래"
principal(=primary),"주요한, 주된, (단체의)장, 교장"
principle,"원리,원칙"
print out,(프린터로)출력하다
prior,"전의, 먼저의"
prioritize,우선적으로 처리하다
priority,"우선권, 우선 사항"
private,개인적인
private residence,개인 주택
privately,개인적으로
privatization,민영화
privilege,"특권, 특전"
prize,"상품, 소중하게 여기다"
probable,"개연성이 높은, 유망한"
probationer,"수습직원, 견습생"
problematic,"문제가 있는, 확실치 않은"
procedure,절차
proceed,"(일을)진행하다,진척되다"
proceeds,수익금
process,"과정, 처리하다"
processing,"가공, 처리"
procrastinate,"미루다, 꾸물거리다"
procurement,(필수품의) 조달
produce,생산하다
product,생산품
product designer,제품 설계자
product display,제품 진열
product logo,제품 상표
production,"생산량, 생산"
production quota,생산량 할당
productively,생산적으로
productivity,생산성
profession,직업
professional,"전문적인,직업의,전문가"
professor,교수
proficiency,"숙달, 능숙"
proficient,"능숙한,능한"
profit,"수익, 이익"
profit margin,이윤 차액
profitable(<->unprofitable),"이익이 되는, 유익한"
profoundly,깊이
programming,방송 편성
progress,"진행, 진척, 진전"
progression,"진행, 진전"
progressive,진보적인
progressively,계속해서
prohibit,금지하다
project coordinator,프로젝트 책임자
project management,프로젝트 관리
projected,예상된
projection,예상(치)
prolong,연장시키다
prolonged,"장기의, 오래 끄는"
prominent,"유명한, 두드러진"
prominently,"눈에 잘 띄게, 두드러지게"
promising,"유망한, 전망이 좋은"
promote,"승진시키다, 촉진하다"
promotion,승진
prompt,"즉각적인, 신속한, 촉발하다, 유도하다"
promptly,"즉시, 정각에"
promptness,"재빠름, 신속"
proof,증거
proof of employment,재직 증명서
proofread,교정보다
propel,"나아가게 하다, 몰아가다"
proper,적절한
properly,"제대로, 정확하게"
property,재산
property line,토지 경계선
proponent,"지지자, 옹호자"
proportion,"부분, 몫"
proportionate,비례하는
proposal ,"제안,계획"
propose,제안하다
proposed,제안된
proprietor,(상점·토지 등의) 소유자
pros and cons,찬반양론; 이해득실
prospect,"전망, 예상"
prospective,"장래의,미래의"
prosperity,번영
protect,보호하다
protective smock,보호 작업복
protocol,의정서
prototype,"모델, 본보기"
provide,"공급하다, 제공하다"
provided(that),(만약)~라면
provider,"공급자, 제공자"
province,지방
provincial,지방의
provision,(조약의) 조항
provoke,화나게 하다; 유발하다
proximity,"가까움, 근접함"
psychological,정신적인
public display,공개 전시
public hearing,공청회
public holiday,공휴일
public library,공공 도서관
public park,공원
public profile,"인지도, 대중의 관심"
public relations(PR)department,홍보부
public speaking,"강연, 연설"
public transportation,대중교통
publication,"출판, 출판물"
publication company,출판 회사
publicity,"선전,(대중매체의)관심"
publicize,"공표하다, 광고하다, 선전하다"
publisher,"출판사, 발행자"
pull down,"~을 끌어내리다, ~을 하락시키다"
pull into,(배가 항구에) 서다
pull up,뽑다; (차가) 서다
pull weeds,잡초를 뽑다
pulled,"철회된, 철수한"
pulse,맥박
punctually,"제시간에, 늦지 않게"
punishment,"형벌, 처벌"
purchase,"구매하다, 구매"
purchase order,구입 주문(서)
pure,"순수한, 불순물이 없는"
purify,정화시키다
purpose,"목적, 의도"
pursue,"추구하다, 쫓다"
push back,연기하다
push one's way through,~을 뚫고 지나가다
put A in jeopardy,A를 위험에 빠뜨리다
put A out for sale,A를 판매하기 위해 내놓다
put a rush,서두르다
put a strain on,~에 부담을 주다
put away,"집어 넣다, 치우다"
put down,"~을 내려놓다, ~을 적다"
put forth,"~을 내밀다, 내뿜다"
put forward,앞당기다
put in,"예금하다, 투자하다"
put in an offer,제안하다
put in for,~을 신청하다
put in place,제자리에 두다
put in some overtime,초과근무를 하다
put into effect,~을 시행하다
put off,"연기하다, 미루다"
put on,~을 입다(입고 있는 동작)
put out for display,"~을 전시해 놓다, 진열해 놓다"
put up with,"~을 참다, 견디다"
qualification,"자격, 자격증"
qualified,"자격있는,적격의"
qualify,~의 자격을 얻다
quality,"품질, 질"
quality control standards,품질 관리 기준
quality service,고급 서비스
quantity,수량
quarantine,격리
quarantine desk,검역대
quarter,"사분기, 4분의1"
query,질문
question,"질문, 질문하다"
questionably,의심스럽게
questionnaire,설문지
quietly,조용히
quit,"그만두다,중지하다"
quite,"꽤, 상당히"
quote,"견적(액), 견적을 내다"
race,"경주, 경주하다"
rack,선반
radically,"완전히, 철저히"
rain check,"우천 교환권, 후일 구매권"
rain forest,열대 우림
rain or shine,"날씨에 상관없이, 어떤 일이 있어도"
rain shower,소나기
raincoat,비옷
rainstorm,폭풍우
raise,"높이다, 올리다, (의문을)제기하다"
raise one's hand,손을 들다
raised,"높인, 높아진"
rake leaves,(갈퀴로) 낙엽을 긁어모으다
rally,"랠리, (자동차·오토바이 등의 경주), 집회"
ramp,경사로
randomly,"임의로,무작위로"
range,"범위, 구역, 늘어놓다, 배치하다"
ranger,공원관리인
rank,"계급, 순위, 등급을 매기다"
rapid,"빠른, 신속한"
rapidly,"급속히, 빨리"
rare,드문
rashly,경솔하게
rate,요금
rating,"등급, 평가"
ratio,비율
rational,합리적인
rave review,"호평, 극찬하는 기사"
raw material,원자재
reach,"(치수·양 등이) ~에 달하다, ~에 도착하다"
reach a conclusion,결론에 이르다
reach for,~을 잡으려고 손을 뻗다
reach the solution,해결하다
reach unanimous agreement,만장일치로 합의하다
react,"반응하다, 대응하다"
react to,~에 반응하다
reaction,반응
reader,독자
readership,독자의 수
readily,"즉시, 손쉽게"
ready-made,기성품의
real estate sale,부동산 매매
realistically,현실적으로
realization,"깨달음, 자각, 인식"
realtor,부동산 중개업자
reapply,재신청하다
rear,뒤
rearrange,"(일정을) 조정하다, 재배열하다"
reasonable,"적당한, 너무 비싸지 않은"
reasonably,"합리적으로, 적당하게"
reassemble,"재조립하다, 다시 모이다"
reassign,"(임무 등을) 다시 맡기다, 새로 발령내다"
reassure,안심시키다
rebate,환불해주다
rebound,"회복, 다시 일어서다"
rebuild,재건하다
recall,"(결함 제품을) 회수하다, 회수"
recede,(가치·품질이) 떨어지다
receipt,영수증
receive,"받다, 수취하다"
recent,최근의
recently,최근에
reception,"환영회, (호텔·회사·병원 등의) 접수처"
receptive,수용하다
recess,휴회
recession,경기 후퇴
recharge,재충전하다
recipe,"요리법, 조리법"
recipient,수신자
reciprocal,"상호의, 서로의"
reclaim,(분실물을) 되찾다
recline,"기대다, 눕다, (의자가)젖혀지다"
recognition,인정
recognizable,알아볼 수 있는
recognize,"인정하다, 알아보다"
recognized,"인정된, 알려진"
recollection,"회상, 회고"
recommend,"권고하다, 추천하다"
recommendable,추천할 수 있는
recommendation,"추천 사항, 추천"
recommendation letter,추천서
recondition,수리하다
reconfiguration,구조 변경
record,"기록, 경력, 이력, 기록하다"
record high,최고 기록
recover,(건강이) 회복되다
recovery,"회복, 쾌유"
recreational activity,오락 활동
recruit,(신입 사원 등을)모집하다
recuperate,"회복하다, 건강을 되찾다"
recurring,되풀이하여 반복하는
recyclable,재활용이 가능한
recycling,재활용
redeem,바꾸다
redeemable,"(현금·상품과)교환할 수 있는, 환급할 수 있는"
redemption,"구원, 구함"
redesign,"재설계, 새 디자인"
redo,다시 하다
reduce,"줄이다, 감소시키다"
reduced,"축소한, 감소한"
reexamine,재검사하다
refer,"참조하게 하다, 조회하다"
refer to,"~을 나타내다, ~에게 문의하다"
reference,"추천서,참고"
reference letter,추천서
reference number,조회번호
refill,(약을) 재조제하다
refine,"정제하다, 개선하다"
reflect,"반영하다, 나타내다"
reflection,"(거울 등에 비친) 상, 반영"
reflective,반영하는
reform,"개혁, 개혁하다"
refrain,"자제하다, 삼가다"
refreshments,"다과, 가벼운 음식물"
refrigerator,냉장고
refund,"환불하다, 환불, 환불금"
refundable,"환불 가능한, 변제 가능한"
refurbish,"개조하다, 새로 꾸미다"
refusal,"거절, 거부"
refuse,거절하다
refute,"부인하다, 반박하다"
regard,"~을 -으로 간주하다, 여기다, 관심, 배려"
regard A as B,A를 B로 여기다
regarding,~에 관하여
region,지역
regional,지역의
regional allowance,특별 근무지 수당
regional director,지사장
register,등록하다
register for,~에 등록하다
registered mail,등기 우편
registration,등록
registration confirmation,등록 확인
regrettably,유감스럽게도
regular,"정기적인, 단골의"
regular working hours,정규 근무 시간
regularity,정기적임
regularly,정기적으로
regulate,"규제하다, 조절하다"
regulation,규정
reimburse,"변제하다, 상환하다"
reimbursement,"상환, 변제, 배상"
reinforce,~을 보강하다
reinforcement,"보강, 강화"
reinstall,재설치하다
reinstate,복직시키다
reject,"거절하다, 거부하다"
related,관련된
relation,관계
relationship,관계
relatively,상대적으로
relax,긴장을 풀다
relaxing,긴장을 풀어 주는
release,"발표하다, 공개하다, 출시, 발매"
release date,발표 일시
relevance,"적절, 타당성; 관련성"
relevant,관련된
relevantly,관련되어
reliability,"신뢰도, 믿음직함"
reliable,"믿을 만한, 신뢰할 수 있는"
reliably,"신뢰할 수 있게, 확실하게"
reliant,"의존하는, 의지하는"
relieve,완화시키다
relieve pain,고통을 덜어주다
relinquish,포기하다
relocate,(공장 등을) 이전하다
relocation,"이전, 재배치"
reluctance,마지못해 함
reluctant,마음이 내키지 않는
reluctantly,"마지못해, 꺼려하여"
rely on,~에 의존하다
remain,"계속 ~한 상태이다, 아직 ~해야 한다"
remainder,나머지
remaining,남아 있는
remains,유물
remark,"주의하다, 말하다"
remarkable,"현저한, 두드러진"
remarkably,두드러지게
remedy,"치료법, 의약"
remembrance,추억
remind,"~에게 상기시키다, 일깨우다"
reminder,생각나게 하는 것
remit,"송금하다, 면제해 주다"
remittance,송금
remnant,나머지
remodeling,주택 개조
remotely,"원격으로, 멀리서"
remove,"해임하다, 제거하다"
renew,(계약 등을)갱신하다
renewal,재개발
renovate,"(낡은 건물·가구 등을)개조하다, 수리하다, 
보수하다"
renovation,"수리, 개조"
renown,명성
renowned,"저명한, 유명한, 명성이 있는"
rent,"임대료, 빌리다"
rent out,~을 임대하다
rental agreement,임대 계약서
rental car,임대 자동차
reorganize,"재편성하다, 재조직하다"
repair,수리하다
repairperson,수리공
repave,(도로를) 재포장하다
repeat,반복하다
repeatedly,"되풀이하여, 여러 차례"
repetitive,반복적인
rephrase,바꾸어 말하다
replace,"~을 교체하다, 대체하다"
replacement,"교체, 후임자"
replenish,"다시 채우다, 보충하다"
replica,복제품
report,"보고하다, 출두하다, 보고서, 보도, 기록
(직장·회의 등에 도착을) 알리다"
report a problem,문제점을 보고하다
reporter,"보도 기자, 리포터"
reposition,~의 위치를 바꾸다
repository,저장소
represent,~을 대표하다
representation,"묘사, 표현"
